GoalZone,GoalTime,TransitionCount,TriggerZone,TriggerTime,TotalTriggerOccurrences,TransitionPercentage,GoalTimeHourly,GoalTime10Min,Granularity
-1.0_to_-0.786,1540,28,-1.0_to_-0.786,930,152,18.42,1540,1540,10-Minute
-1.0_to_-0.786,1550,34,-1.0_to_-0.786,930,152,22.37,1550,1550,10-Minute
0.0_to_0.236,940,1,-1.0_to_-0.786,930,152,0.66,0940,0940,10-Minute
0.0_to_0.236,950,2,-1.0_to_-0.786,930,152,1.32,0950,0950,10-Minute
0.0_to_0.236,1000,2,-1.0_to_-0.786,930,152,1.32,1000,1000,10-Minute
0.0_to_0.236,1010,3,-1.0_to_-0.786,930,152,1.97,1010,1010,10-Minute
0.0_to_0.236,1020,3,-1.0_to_-0.786,930,152,1.97,1020,1020,10-Minute
0.0_to_0.236,1030,2,-1.0_to_-0.786,930,152,1.32,1030,1030,10-Minute
0.0_to_0.236,1040,4,-1.0_to_-0.786,930,152,2.63,1040,1040,10-Minute
0.0_to_0.236,1050,7,-1.0_to_-0.786,930,152,4.61,1050,1050,10-Minute
0.0_to_0.236,1100,4,-1.0_to_-0.786,930,152,2.63,1100,1100,10-Minute
0.0_to_0.236,1110,3,-1.0_to_-0.786,930,152,1.97,1110,1110,10-Minute
0.0_to_0.236,1120,3,-1.0_to_-0.786,930,152,1.97,1120,1120,10-Minute
0.0_to_0.236,1130,5,-1.0_to_-0.786,930,152,3.29,1130,1130,10-Minute
0.0_to_0.236,1140,3,-1.0_to_-0.786,930,152,1.97,1140,1140,10-Minute
0.0_to_0.236,1150,1,-1.0_to_-0.786,930,152,0.66,1150,1150,10-Minute
0.0_to_0.236,1200,1,-1.0_to_-0.786,930,152,0.66,1200,1200,10-Minute
0.0_to_0.236,1210,3,-1.0_to_-0.786,930,152,1.97,1210,1210,10-Minute
0.0_to_0.236,1220,5,-1.0_to_-0.786,930,152,3.29,1220,1220,10-Minute
0.0_to_0.236,1230,5,-1.0_to_-0.786,930,152,3.29,1230,1230,10-Minute
0.0_to_0.236,1240,7,-1.0_to_-0.786,930,152,4.61,1240,1240,10-Minute
0.0_to_0.236,1250,8,-1.0_to_-0.786,930,152,5.26,1250,1250,10-Minute
0.0_to_0.236,1300,9,-1.0_to_-0.786,930,152,5.92,1300,1300,10-Minute
0.0_to_0.236,1310,8,-1.0_to_-0.786,930,152,5.26,1310,1310,10-Minute
